"키","위치","현재문구(참고용·수정하지 마세요)","수정문구(여기에 입력하면 교체됩니다)"
"@title","[설정] 브라우저 탭·검색결과 제목","회전설비 AI 예지보전 1개월 무료 체험 | 모넷코리아",""
"@description","[설정] 검색결과 설명문(메타 디스크립션)","모터·펌프·팬·컴프레서 등 회전설비에 무선 진동·온도 센서를 무상 설치하고 한 달간 실제 데이터로 검증하세요. 무료 현장 컨설팅, 사전 구매 조건 없음, 조건 없는 반납. 문의 02-2088-1454.",""
"@ogimage","[설정] 카톡·페북 공유 썸네일 주소","https://monnit.co.kr/images/field-1-pump-1440.jpg",""
"@promotitle","[설정] 리드 접수 시 기록될 프로모션 이름","회전설비 AI 예지보전 1개월 무료 체험",""
"@accent","[설정] 포인트 색상 (예: #2B84F5)","#2B84F5",""
"@alert","[설정] 경고/이벤트 색상 (예: #FF5A3C)","#FF5A3C",""
"@tel","[설정] 대표 전화번호","02-2088-1454",""
"@email","[설정] 접수 메일 주소","korea@monnit.com",""
"@ended","[설정] 종료 처리 (1 입력 시 접수 마감 + 검색 제외)","",""
"@endedmsg","[설정] 종료 안내 문구","",""
"bar-01","상단 이벤트바 · span","<span class=""dot""></span> <b>무료 컨설팅</b> → <b>1개월 무상 설치</b> → <b>조건 없이 반납</b>",""
"nav-01","상단 네비 · a.navbtn","무료 컨설팅",""
"hero-01","히어로(첫화면) · span.eyebrow","8월 한정 · 구매 전 검증 프로그램",""
"hero-02","히어로(첫화면) · span.eyebrow","사전 구매 조건 없음",""
"hero-03","히어로(첫화면) · h1","도입을 결정하기 전에,<span class=""fieldline"">우리 공장에서 <br class=""br-mobile"">한 달 먼저 써보세요.</span>",""
"hero-04","히어로(첫화면) · span","무료 컨설팅 후 핵심 설비에 센서를 설치해 한 달 데이터를 확인합니다.",""
"hero-05","히어로(첫화면) · span.offer-kicker","<i></i> 30일 실설비 검증 프로그램",""
"hero-06","히어로(첫화면) · strong","충분히 검증한 뒤<br class=""br-mobile"">도입 여부를 자유롭게 결정하세요.",""
"hero-07","히어로(첫화면) · small","사전 구매 조건 없이, 맞지 않으면 비용·위약금 없이 반납할 수 있습니다.",""
"hero-08","히어로(첫화면) · b","30D",""
"hero-09","히어로(첫화면) · em","FIELD TEST",""
"hero-10","히어로(첫화면) · a.btnCall","무료 현장 컨설팅 받기 →",""
"hero-11","히어로(첫화면) · a.btnB","1개월 체험 과정 보기",""
"hero-12","히어로(첫화면) · span","<i>✓</i> 상담·설치 0원",""
"hero-13","히어로(첫화면) · span","<i>✓</i> 구매 의무 없음",""
"hero-14","히어로(첫화면) · span","<i>✓</i> 조건 없는 반납",""
"hero-15","히어로(첫화면) · div.fh-label","30초 현장 적합도 체크",""
"hero-16","히어로(첫화면) · h2","해당되는 항목을 눌러<br>도입 필요성을<br class=""br-mobile"">확인해 보세요.",""
"hero-17","히어로(첫화면) · i","1",""
"hero-18","히어로(첫화면) · span","점검 사이에 <b>설비가 갑자기 멈춘 적</b>이 있다",""
"hero-19","히어로(첫화면) · i","2",""
"hero-20","히어로(첫화면) · span","이상을 느껴도 <b>라인을 세울 근거</b>가 없다",""
"hero-21","히어로(첫화면) · i","3",""
"hero-22","히어로(첫화면) · span","설비가 많아 <b>점검 우선순위</b>를 정하기 어렵다",""
"hero-23","히어로(첫화면) · span","현장 적합도",""
"hero-24","히어로(첫화면) · b","0 / 3",""
"hero-25","히어로(첫화면) · div.fh-score-msg","해당되는 상황을 선택해 보세요.",""
"hero-26","히어로(첫화면) · span.nhlt-title","진동 예지보전 · 회전설비 실시간 통합관제",""
"hero-27","히어로(첫화면) · span.nhlt-clock","--:--:--",""
"hero-28","히어로(첫화면) · span.nhlt-live","<i></i>LIVE",""
"hero-29","히어로(첫화면) · div.vx-card-h","실시간 진동 추이<span class=""vx-upd""><i class=""vx-livedot""></i>LIVE · M-104</span>",""
"hero-30","히어로(첫화면) · span.vx-tlr-l","위험",""
"hero-31","히어로(첫화면) · span.vx-tlr-l","경고",""
"hero-32","히어로(첫화면) · span.vx-tlr-l","정상",""
"hero-33","히어로(첫화면) · span.vx-tlr-l","학습",""
"hero-34","히어로(첫화면) · span.s1","Crest Factor X",""
"hero-35","히어로(첫화면) · span.s2","Crest Factor Y",""
"hero-36","히어로(첫화면) · span.s3","Crest Factor Z",""
"hero-37","히어로(첫화면) · div.vx-card-h","회전설비 통합관제 · 6대<span class=""vx-fleet-sum""><i class=""bad""></i>비정상 1 <i class=""warn""></i>주의 2 <i class=""ok""></i>정상 3</span>",""
